title,isbn13,num_pages,average_rating,num_of_ratings,num_of_reviews
Harry Potter and the Half-Blood Prince (Harry Potter  #6),9780439785969,652,4.57,2095690,27591
Harry Potter and the Order of the Phoenix (Harry Potter  #5),9780439358071,870,4.49,2153167,29221
Harry Potter and the Chamber of Secrets (Harry Potter  #2),9780439554893,352,4.42,6333,244
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),9780439655484,435,4.56,2339585,36325
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),9780439682589,2690,4.78,41428,164
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",9780976540601,152,3.74,19,1
Harry Potter Collection (Harry Potter  #1-6),9780439827607,3342,4.73,28242,808
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),9780517226957,815,4.38,3628,254
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),9780345453747,815,4.38,249558,4080
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),9781400052929,215,4.22,4930,460
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),9780517149256,815,4.38,2877,195
A Short History of Nearly Everything,9780767908184,544,4.21,248558,9396
Bill Bryson's African Diary,9780767915069,55,3.44,7270,499
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,9780767910439,256,3.87,2088,131
In a Sunburned Country,9780767903868,335,4.07,72451,4245
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,9780767903820,304,3.90,49240,2211
The Lost Continent: Travels in Small Town America,9780060920081,299,3.83,45712,2257
Neither Here nor There: Travels in Europe,9780380713806,254,3.86,48701,2238
Notes from a Small Island,9780380727506,324,3.91,80609,3301
The Mother Tongue: English and How It Got That Way,9780380715435,270,3.93,28489,2085
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,9780345538376,1728,4.59,101233,1550